དཔལ་ས་སྐྱའི་གསང་ཆེན་རྒྱུད་གྲྭ།,www.gyudra.com,
,,
W1ERI0014001 བཤད་གྲྭ།,,
,"འཛིན་གྲྭ་དང་པོ། ",
,,གཞུང་།
,,
,,
,,ཆོས་འབྱུང་།
,,
,,
,,རིག་གནས།
,,
,,
,,
,འཛིན་གྲྭ་གཉིས་པ།,
,,གཞུང་།
,,
,,
,,ཆོས་འབྱུང་།
,,
,,
,,རིག་གནས།
,,
W1ERI0014002 གཞུང་ལུགས།,,
,W4CZ46036,
,W1KG13617,
,W1KG17213,
,W1KG17215,
,W1KG17217,
,W1KG17598,
,W1KG17585,
,,
W1ERI0014003 གསུང་འབུམ།,,
,W1KG17218,
,W00EGS1017151,
,W2MS24727,
,W30152,
,W1KG17190,
,W00EGS1016703,
,W00EGS1016899,
,,
W1ERI0014004 འདོན་ཆ།,,
,W1KG17597,
,W1KG17606,
,W1KG17600,
,W1KG17595,
,W1KG17601,
,W1KG17596,
,,
W1ERI0014005 སྔགས་ཀྱི་སྐོར།,,
,W1KG1083,
,W29628,
,W27883,
,W1KG17191,
,W1KG17189,
,W4CZ46035,
,,
W1ERI0014006 སྣ་ཚོགས།,,
,W1KG17607,
,W1KG17214,
,W1KG17216,
,W1KG17220,
,W1KG17222,
,W1KG17599,
,W1KG17221,
,W1KG17219,
,W1KG17212,
