G77 དགའ་ལྡན་བྱང་རྩེ།	www.gadenjangtse.org		
W1ERI0004001འཛིན་གྲྭ།			
	བསྡུས་གྲྭ། 		
		བསྡུས་ཆུང་།	
			W25093_0004 རིགས་ལམ་འཕྲུལ་ལྡེ། ཁ་དོག་དཀར་དམར་ནས་རྫས་དོག་བར།
			W00EGS1017144_0049 ཡུལ་དང་ཡུལ་ཅན། མཁས་གྲུབ་སྦྱིན་པ་དར་རྒྱས། 
		བསྡུས་འབྲིང་།	
			W25093_0005 རིགས་ལམ་འཕྲུལ་ལྡེ། འགལ་འབྲེལ། 
			W25093_0006 རིགས་ལམ་འཕྲུལ་ལྡེ། ཐལ་འགྱུར།
			W00EGS1017144_0003 བློ་རིག  མཁས་གྲུབ་སྦྱིན་པ་དར་རྒྱས།
		རྟགས་རིགས། 	
			W25093_0008 རིགས་ལམ་འཕྲུལ་ལྡེ། རྟགས་རིགས།
			W1KG18133 རྗེ་བཙུན་གྲུབ་མཐའ། དོན་བདུན་ཅུ། ས་ལམ། 
		རྣམ་འགྲེལ། 	
			W8LS31899 རྣམ་འགྲེལ་ཐར་ལམ་གསལ་བྱེད། དབུ་ནས་འབྲེལ་སྟོད་བར། 
	ཕར་ཕྱིན།		
		སྐབས་དང་པོ། 	
			W871 ཕར་ཕྱིན་སྤྱི་དོན་སྐལ་བཟང་ཀླུ་དབང་གི་རོལ་མཚོ། དབུ་ནས་བདེན་བཞི་བར།
		སྐྱབས་གསུམ།	
			W871 ཕར་ཕྱིན་སྤྱི་དོན་སྐལ་བཟང་ཀླུ་དབང་གི་རོལ་མཚོ། སྐྱབས་གསུམ་པ་ནས་རིགས་བར།
		སྐབས་གཉིས་པ།	
			W871 ཕར་ཕྱིན་སྤྱི་དོན་སྐལ་བཟང་ཀླུ་དབང་གི་རོལ་མཚོ། དབུ་ནས་བདེན་བཞི་བར།
		སྐབས་བཞི་པ།	
			W871 ཕར་ཕྱིན་སྤྱི་དོན་སྐལ་བཟང་ཀླུ་དབང་གི་རོལ་མཚོ། དབུ་ནས་བདེན་བཞི་བར།
		སྐབས་བརྒྱད་པ།	
			W871 ཕར་ཕྱིན་སྤྱི་དོན་སྐལ་བཟང་ཀླུ་དབང་གི་རོལ་མཚོ། དབུ་ནས་བདེན་བཞི་བར།
		དྲང་ངེས། 	
			W30367 དྲང་ངེས་ལེགས་བཤད་སྙིང་པོ།
			W29193_0321 ཀུན་གཞི།
	དབུ་མ།		
		དབུ་གསར། 	
			W29193_0299 དབུ་མ་དགོངས་པ་རབ་གསལ། དབུ་ནས་དུས་གསུམ་བར། 
			W1KG15937 དབུ་མའི་སྤྱི་དོན་སྐལ་བཟང་འགུལ་རྒྱན། དབུ་ནས་དུས་གསུམ་བར། 
		དབུ་རྙིང་།	
			W29193_0299 དབུ་མ་དགོངས་པ་རབ་གསལ། དུས་གསུམ་ནས་བདག་འགོག་བར།
			W1KG15937 དབུ་མའི་སྤྱི་དོན་སྐལ་བཟང་འགུལ་རྒྱན། དུས་གསུམ་ནས་བདག་འགོག་བར།
		དབུ་གོང་།	
			W29193_0299 དབུ་མ་དགོངས་པ་རབ་གསལ། བདག་འགོག་ནས་རྫོགས་ཚམ།
	མངོན་པ་མཛོད།		W1KG15937 དབུ་མའི་སྤྱི་དོན་སྐལ་བཟང་འགུལ་རྒྱན། བདག་འགོག་ནས་རྫོགས་ཚམ།
		མཛོད་གསར།	
			W29901 ཆོས་མངོན་པ་མཛོད་གསལ་བྱེད་ལེགས་པར་བཤད་པའི་རྒྱ་མཚོ། གནས་དང་པོ་ནས་གནས་བཞི་པ་བར།
		མཛོད་རྙིང་།	
			W29901 ཆོས་མངོན་པ་མཛོད་གསལ་བྱེད་ལེགས་པར་བཤད་པའི་རྒྱ་མཚོ། གནས་ལྔ་པ་ནས་བརྒྱད་པ་བར།
	འདུལ་བ།		
		འདུལ་དང་པོ། 	
			W12567 འདུལ་བ་མདོ་རྩའི་འགྲེལ་པ་ལེགས་བཤད་ཉི་མའི་འོད་ཟེར། དབུ་ནས་མའི་རྣམ་འབྱེད་བར།
		འདུལ་གཉིས།	
			W12567 འདུལ་བ་མདོ་རྩའི་འགྲེལ་པ་ལེགས་བཤད་ཉི་མའི་འོད་ཟེར། ཞུ་བ་སྤྱིར་བསྟན།
		འདུལ་གསུམ།	
			W12567 འདུལ་བ་མདོ་རྩའི་འགྲེལ་པ་ལེགས་བཤད་ཉི་མའི་འོད་ཟེར། གཞི་བདུན་ཅུ།
			
W1ERI0004002 གཞུང་ལུགས།			
	W1KG5198		
	W3CN10638		
	W3CN10646		
	W3CN10653		
	W3CN10656		
	W3CN10643		
	W3CN10650		
	W3CN10659		
	W2CZ7700		
	W1KG3874		
W1ERI0004003 གསུང་འབུམ།			
			
W1ERI0004004 འདོན་ཆ།			
			
W1ERI0004005 སྔགས་ཀྱི་སྐོར།			
			
W1ERI0004006 སྣ་ཚོགས།			
