G2CN11149 སྨན་རི་གླིང་གི་དཔེ་ཀློག་སྒེའུ་ཁུང་།,www.bonfoundation.org,,,
,,,,
W1ERI0007001 བཤད་གྲྭ།,,,,
,ལོ་རིམ་དང་པོ། བསྡུས་གྲྭ།,,,
,,ཟླ་དྲུག་སྔ་མ།,,
,,,གཞུང་ཁྲིད།,
,,,,"W1KG14500(7,48,6,6) ཐུན་མོང་སྡུད་གྲྭའི་རྣམ་བཤད་རིག་པའི་སྒོ་འབྱེད་པའི་ལྡེ་མིག་ཕས་རྒོལ་ལོག་ལྟ་འཇོམས་པའི་ཐོག་མདའ་གཤེན་བསྟན་པད་ཚལ་རྒྱས་པའི་ཉི་མ་ལས་སྤྱིར་བསྟན་ཆ་ཚང་།"
,,,ཟུར་ཁྲིད།,
,,,,"W1KG14500(7,48,6,6) ༼ བསྐྱར་འཁྲིད།༽ཐུན་མོང་སྡུད་གྲྭའི་སྤྱིར་བསྟན་ཆ་ཚང་།"
,,,རིག་གནས།,
,,,,"W8LS16828(3,85) གངས་ཅན་བོད་ཀྱི་བརྡ་སྐད་མིང་གཞི་གསལ་བར་སྟོན་པའི་བསྟན་བཅོས་དགོས་འབྱུང་ནོར་བུའི་གཏེར་ཆེན་ལས་མིང་གཞི་༼ ཀ-ཏ༽བར།"
,,ཟླ་དྲུག་ཕྱི་མ།,,
,,,གཞུང་ཁྲིད།,
,,,,"W1KG14500(49,97,6,6) ཐུན་མོང་སྡུད་གྲྭའི་རྣམ་བཤད་ལས་རིག་ལམ་ཆེ་འབྲིང་ཆུང་གསུམ།"
,,,,"W1KG14500(97,104,6,6) ཉེར་མཁོ་རྩོད་པའི་རྣམ་གཞག"
,,,ཟུར་ཁྲིད།,
,,,,"W1KG14500(49,104,6,6) ༼ བསྐྱར་འཁྲིད། ༽ རིག་ལམ་ཆེ་འབྲིང་ཆུང་གསུམ་དང་ཉེར་མཁོ་རྩོད་པའི་རྣམ་གཞག་བཅས་འཁྲིད་རྒྱུ།"
,,,རིག་གནས།,
,,,,"W8LS16828(85,147) གངས་ཅན་བོད་ཀྱི་བརྡ་སྐད་མིང་གཞི་གསལ་བར་སྟོན་པའི་བསྟན་བཅོས་དགོས་འབྱུང་ནོར་བུའི་གཏེར་ཆེན་ལས་མིང་གཞི་ ༼ ཏ-ཙ༽བར།"
,,,,
,ལོ་རིམ་གཉིས་པ། ཚད་མ།,,,
,,ཟླ་དྲུག་སྔ་མ།,,
,,,གཞུང་ཁྲིད།,
,,,,"W1KG14500(266,285,6,6) ཚད་མ་རྣམ་འབྱེད་འཕྲུལ་གྱི་སྒྲོན་མེའི་རང་འགྲེལ་ལས་ལེའུ་དང་པོ།"
,,,,"W1KG14500(285,309,6,6) ཚད་མ་རྣམ་འབྱེད་འཕྲུལ་གྱི་སྒྲོན་མེའི་རང་འགྲེལ་ལས་ལེའུ་གཉིས་པ།"
,,,,"W1KG14500(107,123,6,6) ཚད་མའི་སྙིང་པོ་དེ་ཁོ་ན་ཉིད་ཀུན་ལས་བཏུས་པ་རིག་པའི་གཏེར་མཛོད་ལས་ལེའུ་དང་པོ།"
,,,,"W1KG14500(123,146,6,6) ཚད་མའི་སྙིང་པོ་དེ་ཁོ་ན་ཉིད་ཀུན་ལས་བཏུས་པ་རིག་པའི་གཏེར་མཛོད་ལས་ལེའུ་གཉིས་པ།"
,,,ཟུར་ཁྲིད།,
,,,,W1KG13779 རིག་ལམ་ནོར་བུའི་འཕྲེང་བ།
,,,རིག་གནས།,
,,,,"W8LS16828(147,225) གངས་ཅན་བོད་ཀྱི་བརྡ་སྐད་མིང་གཞི་གསལ་བར་སྟོན་པའི་བསྟན་བཅོས་དགོས་འབྱུང་ནོར་བུའི་གཏེར་ཆེན་ལས་མིང་གཞི་༼ ཙ ༽ནས་མིང་གཞི་མཇུག་རྫོགས་བར།"
,,"ཟླ་དྲུག་ཕྱི་མ། ",,
,,,གཞུང་ཁྲིད།,
,,,,"W1KG14500(309,337,6,6) ཚད་མ་རྣམ་འབྱེད་འཕྲུལ་གྱི་སྒྲོན་མེའི་རང་འགྲེལ་ལས་མངོན་སུམ་དང་རྗེས་དཔག་བསྟན་པའི་ལེའུ།"
,,,,"W1KG14500(158,198,6,6) ཚད་མའི་སྙིང་པོ་དེ་ཁོ་ན་ཉིད་ཀུན་ལས་བཏུས་པ་རིག་པའི་གཏེར་མཛོད་ལས་ལེའུ་ལྔ་པ་རྗེས་དཔག་སྤྱིའི་རང་བཞིན་གྱི་ལེའུ།"
,,,ཟུར་ཁྲིད།,
,,,,"W1KG14500(198,208,6,6) ཚད་མའི་སྙིང་པོ་དེ་ཁོ་ན་ཉིད་ཀུན་ལས་བཏུས་པ་རིག་པའི་གཏེར་མཛོད་ལས་ལེའུ་དྲུག་པ།"
,,,,"W1KG14500(209,230,6,6) ཚད་མའི་སྙིང་པོ་དེ་ཁོ་ན་ཉིད་ཀུན་ལས་བཏུས་པ་རིག་པའི་གཏེར་མཛོད་ལས་ལེའུ་བདུན་པ།"
,,,རིག་གནས།,
,,,,W8LS16825 བརྡ་སྤྲོད་ཀུན་གྱི་སྙིང་པོ་སྲིད་པའི་སྒྲོན་མེ།
,,,,
,ལོ་རིམ་གསུམ་པ། གྲུབ་མཐའ།,,,
,,ཟླ་དྲུག་སྔ་མ།,,
,,,གཞུང་ཁྲིད།,
,,,,W1KG14500_1541 ཐེག་པའི་རིམ་པ་མངོན་དུ་བཤད་པའི་མདོ་རྒྱུད་ཀྱི་འགྲེལ་བའི་དབུ་ནས་འབྲས་ཐེག་བར།
,,,ཟུར་ཁྲིད།,
,,,,"W1KG14500(251,271,8,8) ཐུགས་རྗེའི་སེམས་དཔའི་ལུགས་ཀྱི་མཚན་ཉིད་གསུམ་གྱི་རྣམ་གཞག་ག་བུར་ཐིགས་པ།"
,,,རིག་གནས།,
,,,,"W1KG14500(65,90,3,3) སྙན་ངག་གི་བསྟན་བཅོས་རིན་ཆེན་ལྡེ་མིག་ལས་དོན་རྒྱན་སོ་ལྔ་ལས་རང་བཞིན་བརྗོད་པའི་རྒྱན་ནས་གསལ་བཤད་རྒྱན་བར།"
,,ཟླ་དྲུག་ཕྱི་མ།,,
,,,གཞུང་ཁྲིད།,
,,,,W1KG14500_1541 ཐེག་པའི་རིམ་པ་མངོན་དུ་བཤད་པའི་མདོ་རྒྱུད་ཀྱི་འགྲེལ་བ་རྣམ་འབྱེད་འཕྲུལ་གྱི་ལྡེ་མིག་གི་དབུ་ནས་འབྲས་ཐེག་བར།
,,,ཟུར་ཁྲིད།,
,,,,"W1KG14500(83,129,8,8) མུ་སྟེགས་ཀྱི་གྲུབ་མཐའ་ཚར་གཅོད་གཏན་ཚིགས་ཐིགས་པའི་རིགས་པ་སྨྲ་བའི་མདོ་འགྲེལ།"
,,,རིག་གནས།,
,,,,"W1KG14500(103,160,3,3) སྙན་ངག་གི་བསྟན་བཅོས་རིན་ཆེན་ལྡེ་མིག་ལས་དོན་རྒྱན་སོ་ལྔ་ལས་ལྡོག་པ་ཅན་གྱི་རྒྱན་ནས་ཁྱད་པར་ཅན་གྱི་རྒྱན་བར།"
,,,,
,ལོ་རིམ་བཞི་བ། ས་ལམ།,,,
,,ཟླ་དྲུག་སྔ་མ།,,
,,,གཞུང་ཁྲིད།,
,,,,"W1KG14500(357,443,9,9) ས་ལམ་འཕྲུལ་གྱི་སྒྲོན་མེའི་རང་འགྲེལ།"
,,,," W1KG14500(63,143,9,9) ཐེག་པ་ཆེན་པོ་ས་དང་ལམ་གྱི་རིམ་པའི་དབུ་ནས་ཚོགས་ལམ་གྱི་མཇུག་བར།"
,,,ཟུར་ཁྲིད།,
,,,,"W1KG14500(357,443,9,9) ས་ལམ་འཕྲུལ་གྱི་སྒྲོན་མེའི་རང་འགྲེལ་ལས་ཚོགས་ལམ་རྫོགས་རྗེས་ཐར་ལམ་གསལ་བྱེད།"
,,,རིག་གནས།,
,,,,"W1KG14500(84,160,3,3) སྙན་ངག་གི་བསྟན་བཅོས་རིན་ཆེན་ལྡེ་མིག་ལས་དོན་རྒྱན་སོ་ལྔ་ལས་གསལ་བཤད་ཀྱི་རྒྱན་ནས་ཁྱད་པར་བརྗོད་པའི་རྒྱན་བར།"
,,ཟླ་དྲུག་ཕྱི་མ།,,
,,,གཞུང་ཁྲིད།,
,,,,"W1KG14500(357,443,9,9) ས་ལམ་འཕྲུལ་གྱི་སྒྲོན་མེའི་རང་འགྲེལ་དང་།"
,,,,"W1KG14500(142,229,9,9) ཐེག་པ་ཆེན་པོ་ས་དང་ལམ་གྱི་རིམ་པའི་སྦྱོར་ལམ་ནས་ཆ་ཚང་རྫོགས་བར།"
,,,ཟུར་ཁྲིད།,
,,,,"W1KG14500(263,283,10,10) ཁམས་ཆེན་པོ་བརྒྱད་དང་མཚོན་བྱེད་ཞེ་ལྔའི་རྣམ་གཞག"
,,,རིག་གནས།,
,,,,"W1KG14500(154,180,3,3) སྙན་ངག་གི་བསྟན་བཅོས་རིན་ཆེན་ལྡེ་མིག་ལས་དོན་རྒྱན་སོ་ལྔ་ལས་ཁྱད་པར་བརྗོད་པའི་རྒྱན་ནས་མཇུག་ཆ་ཚང་།"
,,,,
,ལོ་རིམ་ལྔ་བ། ཕར་ཕྱིན།,,,
,,ཟླ་དྲུག་སྔ་མ།,,
,,,གཞུང་ཁྲིད།,
,,,,"W1KG14500(3,87,11,11) ཤེས་རབ་ཀྱི་ཕ་རོལ་དུ་ཕྱིན་པ་མངོན་པར་རྟོགས་པའི་རྒྱན་ལས་སྐབས་དང་པོའི་རྣམ་བཤད་ཚིག་དོན་དཀའ་གནད་རབ་གསལ་དབུ་ནས་སེམས་བསྐྱེད་བར།"
,,,ཟུར་ཁྲིད།,
,,,,ཞི་གནས་ལག་ཏུ་ལེན་པའི་ཐབས་མཆོག་མདོ་རྒྱུད་རྒྱ་མཚོའི་དགོངས་བཅུད་གསལ་བྱེད།
,,,རིག་གནས།,
,,,,"W1KG14500(443,451,4,4) གཙུག་ལག་རྩིས་ཀྱི་རིག་པ་སྣང་སྲིད་མེ་ལོང་ལས་སྔོན་འགྲོ་ཆ་ཚང་།"
,,ཟླ་དྲུག་ཕྱི་མ།,,
,,,གཞུང་ཁྲིད།,
