དཔལ་ས་སྐྱའི་ཆོས་སྒར་གྱི་དཔེ་ཀློག་སྒེའུ་ཁུང་།	www.glorioussakya.org	
		
W1ERI0003001 བཤད་གྲྭ།		
	བསྡུས་གྲྭ།	
		W21971
	བློ་རྟགས།	
		
	ཕར་ཕྱིན།	
		
	དབུ་མ།	
		
	མཛོད།	
		
	འདུལ་བ།	
	ཆོས་འབྱུང་།	
		W3CN15333
	རིག་གནས།	
		W22009
W1ERI0003002 གཞུང་ལུགས།		
	W24767	
	W29380	
	W1KG12714	
	W11392	
	W1KG12627	
W1ERI0003003 གསུང་འབུམ།		
	W11577	
	W22271	
	W23367	
	W1KG12541	
W1ERI0003004 འདོན་ཆ།		
	W1KG17583	
	W1KG12628	
	W1KG12629	
	W1KG17590	
W1ERI0003005 སྔགས་ཀྱི་སྐོར།		
	W1KG17584	
	W23416	
	W22433	
	W10316	
	W10314	
	W10315	
	W2CZ7966	
	W1KG12548	
	W1KG12280	
W1ERI0003006 སྣ་ཚོགས།		
	W27318	
	W10329	
	W23649	
	W2CZ6650	
	W1KG21959	
	W1KG1111	
	W1KG11718	
	W30149	
	W1KG12975	
	W10131	
	W23648	
	W1KG12274	
	W4CZ15299	
	W2CZ7955	
	W23436	
	W20499	
	W30114	
	W1KG4190	
	W23700	
	W00KG09216	
	W8LS20742	
	W8LS26126	
	W8LS26108	
	W8LS26129	
	W23658	
	W22140	
	W22200	
	W22202	
	W2CZ6615	
