G155 སེར་བྱེས་གྲྭ་ཚང་།		
		
W0ERI02001 འཛིན་གྲྭ།		
	བསྡུས་གྲྭ།	
		W1KG10008
		
	བློ་རྟགས། 	
		W1KG4524
		W1KG4783
		W8LS22884
		W1KG10008
		
	ཕར་ཕྱིན།	
		W1KG4778
		W2CZ7993
		W1KG4847
		W8LS22884
		W1KG21951
		
	དབུ་མ།	
		W1CZ2258
		W2CZ8080
		
W0ERI02002 གཞུང་ལུགས།		
	W1KG4777	
	W1KG4778	
	W1KG4779	
	W8LS22893	
	W1CZ2280	
	W2CZ7993	
	W1KG4524	
	W1KG4783	
	W1KG4937	
	W1CZ2258	
	W1KG4847	
	W8LS26203	
	W1KG21951	
	W1KG4782	
	W8LS22884	
	W1KG4846	
	W2CZ8080	
	W1KG10008	
	W1CZ2288	
		
W0ERI02003 གསུང་འབུམ།		
	W6113	
		
W0ERI02004 འདོན་ཆ།		
	W00EGS1017325	
	W1KG4462	
		
W0ERI02005 སྔགས་ཀྱི་སྐོར།		
	
		
W0ERI02006 སྣ་ཚོགས།		
	W22078	
	W4CZ299960	
	W4CZ299959	
	W1KG15241	
	W1KG4781	
	W1KG4946	
